TF,gene,label
MCM4,LGALS1,0
DDIT3,CCNH,0
OTX2,UBE2T,0
MCM7,NIP7,0
NFYB,PLCD1,0
PTTG1,ATG5,0
ZNF143,OTX2,0
ID2,CCBL2,0
MCM4,CCNH,0
KNTC1,KLF6,0
PITX2,NEK2,0
DDIT3,MT2A,0
DDIT3,CCL2,0
TGIF1,ZWILCH,0
CRABP2,CYP3A5,0
CRABP2,NIF3L1,0
ID3,OTX2,0
PTTG1,MRPS27,0
ID3,SCHIP1,0
PTTG1,CCS,0
ID3,TGIF1,0
PITX2,MCM4,0
KNTC1,ID3,0
PITX2,DPCD,0
KLF6,TGIF1,0
MCM3,NIF3L1,0
PITX2,TF,0
MCM4,TNNI3,0
FOS,NIP7,0
TGIF1,ACTC1,1
CRABP2,ICA1,0
FOS,PTTG1,0
TGIF1,NIF3L1,0
OTX2,IQGAP2,0
PTTG1,ACTL6A,0
KLF6,CYP3A5,0
PTTG1,CAPN12,0
MCM3,LGALS1,0
ID2,ACTC1,0
CRABP2,MCM4,0
RUVBL1,APEH,0
ZNF143,SCHIP1,0
FOS,PLK1,0
PTTG1,SMYD3,0
CRABP2,WARS,0
ID3,MCM3,0
FOS,TPD52L1,1
OTX2,TM2D2,0
